product_code,product_name,brand,main_category,country,nutriscore_grade,nova_group,quantity,packaging,labels,ingredients_text,ingredient_text_length,image_url,has_product_name,has_brand,has_category,has_country,has_nutriscore
4388860679120,Nudeln - Fusilli,3 Glocken,Cereals and their products,Germany,unknown,,500g,Plastic,,,0,https://images.openfoodfacts.org/images/products/438/886/067/9120/front_en.15.400.jpg,True,True,True,True,False
4005500330318,Ravioli Gemüse,Maggi,Cereals and their products,Germany,c,4.0,800g,"Metal,Can,Canned","European Vegetarian Union Vegan, Green Dot, Nutriscore Grade B","74,5% Tomaten-Gemüsesauce [Wasser*, 22,8% Tomatenmark*, 3% Karotten*, Zwiebeln, Lauch Zucker, 1,4% Erbsen, Sonnenblumenöl, 1% Mais, Jodsalz (Salz, Kaliumjodat), grüne Gemüsepaprika, Maisstärke, Weinessig Knoblauch, Oregano, Pfeffer, natürliches Estragonaroma, natürliche Aromen* (mit WEIZEN), 25,5% Ravioli [HARTWEIZENGRIESS] Wasser, WEIZENMEHL, Paniermehl (WEIZENMEHL, Jodsalz (Salz, Kaliumjodat), Hefe), WEIZENEIWEISS Kartoffelstärke, Erbsenmehl, Jodsalz (Salz, Kaliumjodat), Gewürze*, Karotten*, Spinat*, Kurkumaextrakt*, Sonnenblumenöl, natürliches Basilikumaroma. Kann SELLERIE, EIER, MILCH, SENF und SOJA enthalten. *natürliche Zutaten",641,https://images.openfoodfacts.org/images/products/400/550/033/0318/front_de.135.400.jpg,True,True,True,True,True
0645175570288,"Ottogi Noodle Instant, Asian Style, Jim Ramen (Hot)",Ottogi,Cereals and their products,France,unknown,4.0,65 g,,,"Noodles (84%): farina di frumento, amido modificato (E1420), olio di palma, olio di girasole, sale, glutine di frumento, estratto d'aglio, olio emulsionato [sciroppo di oligosaccaridi, olio di sale (antiossidante (E306)), emulsionanti: (E322(soia), E471)], correttore di acidità (E450, E451, E500, E501), estratto di tè verde, colorante (E101). Condimento in polvere (1596): sale, zucchero, esaltatori di sapidità (E621, E631, E627), glucosio, aglio in polvere, condimento al lievito in polvere (destrina, sale, estratto di lievito, frumento, soia), proteine vegetali idrolizzate (soia, frumento), salsa di soia in polvere (soia, frumento). condimento alla salsa di soia in polvere (salsa di soia, cipolla, estratto di lievito, glucosio, frumento), olio di palma in polvere (olio di palma, sciroppo di mais, destrina), condimento in polvere di peperoncino rosso (peperoncino rosso, aglio, sale, salsa di soia, frumento), amido di mais, riso tostato in polvere, peperoncino rosso in polvere, pepe nero in polvere, estratto di peperoncino in polvere (soia), estratto di lievito in polvere, estratto di peperoncino (soia), correttore di acidità (E296). Mix di verdure disidratate (196): cavolo cinese, carota, proteine vegetali testurizzate (soia, frumento), cipollotto, funghi, peperoncino rosso.",1294,https://images.openfoodfacts.org/images/products/064/517/557/0288/front_en.16.400.jpg,True,True,True,True,False
5000118203497,Pot Noodle Beef & Tomato flavour,Pot Noodle,Cereals and their products,France,c,4.0,90 g,"Plastic, Foil-lid, Ldpe-packet, Pp-pot","No preservatives, Vegan, European Vegetarian Union Vegetarian, Green Dot, No artificial colours and preservatives, No colorings, vegetarien","Noodle mix (95%): Dried noodles (70%) [WHEAT flour (contains calcium carbonate iron, niacin, thiamin), palm oil, salt, firming agents (potassium carbonate, sodium carbonates), maltodextrin, WHEAT flour, yeast extract, flavour enhancers (monosodium glutamate, disodium inosinate, disodium guanylate), tomatoest (1.2%), sugar, peast, tomato powder (08%), salt, flavourings, palm fat, hydrolysed vegetable protein (SOY), onion powdert potato starch, acid (citric acid), garlic, soy sauce (SOYBEANS, WHEAT), sunflower oil. Sauce sachet (5%): Tomato sauce [water, spirit vinegar, tomato paste' (18%), sugar, e Qurose syrup,salt, modified corn starch].",646,https://images.openfoodfacts.org/images/products/500/011/820/3497/front_en.72.400.jpg,True,True,True,True,True
8720182691835,Knorr Soupe Déshydratée Chinoise 2 Portions,Knorr,Dehydrated soups,France,b,4.0,45 g,,"No preservatives, No colorings, Nutriscore Grade B, Triman","Nouilles chinoises 51% (farine de BLÉ, sel, blanc d'ŒUF), amidon, arômes, poireau 4,5%, carotte, oignon, jus de citron en poudre (maltodextrine, jus de citron), champignon noir 2,2%, chou blanc, ail 1,6%, chlorure de potassium, sel, sucre, gingembre 1%, épices 0,7% (cardamome, curcuma, carvi, cannelle, persil tubéreux), sauce soja en poudre (maltodextrine, sauce soja (graines de SOJA, BLÉ), sel), graines de coriandre en poudre 0,3%, piment de Cayenne 0,06%, extrait de levure. Peut contenir : SEIGLE, ORGE, AVOINE, LAIT, CÉLERI, MOUTARDE.",542,https://images.openfoodfacts.org/images/products/872/018/269/1835/front_fr.34.400.jpg,True,True,True,True,True
8076802085981,Barilla Fusilli N°98,Barilla,Dry pastas,Australia,a,1.0,500 g,"Karton,Ravna ljepenka,en:Packet,en:Card-box","Vegetarian, Halal, Kosher, Made in Italy, de:Kascher, de:Vegano, de:Vegetariano","Hartweizengrieß, Wasser.",24,https://images.openfoodfacts.org/images/products/807/680/208/5981/front_en.44.400.jpg,True,True,True,True,True
8009385331053,Spaghetti n°5,Sgambaro,Dry pastas,France,a,1.0,500g,,"Halal, it:Grano duro italiano",Semolina,8,https://images.openfoodfacts.org/images/products/800/938/533/1053/front_en.17.400.jpg,True,True,True,True,True
8901014000456,koren veg noodles,geki,Fats,India,unknown,2.0,70,,,,0,https://images.openfoodfacts.org/images/products/890/101/400/0456/front_en.27.400.jpg,True,True,True,True,False
3240931548722,Lustucru lot 2 gnocchi a poeler star 300g 1 achete 2eme 68% x4,Lustucru selection,Gnocchi of durum wheat semolina,France,unknown,3.0,600 g,,Nutriscore Grade B,"Purée (eau, pommes de terre déshydratées, épice : curcuma), semoule de BLE, farine de BLE, huile de colza, sel. Peut contenir des traces de lait, œufs, soja, moutarde et gluten provenant d'autres céréales. Conditionné sous atmosphère protectrice.",246,https://images.openfoodfacts.org/images/products/324/093/154/8722/front_fr.4.400.jpg,True,True,True,True,False
0089686122046,Indomie beef flavor noodles,,Instant noodles,Morocco,unknown,,,,,,0,https://images.openfoodfacts.org/images/products/008/968/612/2046/front_fr.7.400.jpg,True,False,True,True,False
8445291174955,Nouilles instantanées sauce poulet sésame,Maggi,Instant noodles,France,c,4.0,75 g,,Triman,"Nouilles rissolées 73,3% : farine de BLÉ, huile de tournesol, sel, GLUTEN de BLÉ, stabilisant (polyphosphates), correcteur d'acidité (carbonates de potassium) ; Sauce d'assaisonnement 26,7% : fécules, sucre, sel, sauce SOJA, extrait de levure, arômes (MOUTARDE, OEUFS), carotte 0,6%, poireau 0,6%, ail, sirop de sucre caramélisé, oignon, ciboulette, piment, coriandre, huile de tournesol, gingembre, carvi. Peut contenir : CÉLERI, LAIT, SÉSAME.",444,https://images.openfoodfacts.org/images/products/844/529/117/4955/front_fr.102.400.jpg,True,True,True,True,True
4800016555985,Xtra Big Pancit Canton Kalamansi,Payless,Instant noodles,Philippines,e,4.0,125 g,,,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). Seasoning: Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Sugar, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Salt, Spices (Onion, Garlic), Artificial Flavors, Citric Acid, Hydrolyzed Soy Protein, Color (Caramel Color), Dehydrated Chives, Anticaking Agent (Silicon Dioxide)",519,https://images.openfoodfacts.org/images/products/480/001/655/5985/front_en.19.400.jpg,True,True,True,True,True
4800016556807,payless pc kalamansi 128g,Payless,Instant noodles,Philippines,e,4.0,130 g,,,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). 
Seasoning: Sugar, Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Salt, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Spices (Red Pepper, Onion, Garlic), Artificial Flavors, Hydrolyzed Soy Protein, Color (Caramel Color, Paprika Extract), Anticaking Agent (Silicon Dioxide).",519,https://images.openfoodfacts.org/images/products/480/001/655/6807/front_en.12.400.jpg,True,True,True,True,True
4800016561436,payless pc sweet & spicy 128g,Payless,Instant noodles,Philippines,e,4.0,128 g,,,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). Seasoning: Sugar, Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Salt, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Spices (Red Pepper, Onion, Garlic), Artificial Flavors, Hydrolyzed Soy Protein, Color (Caramel Color, Paprika Extract), Anticaking Agent (Silicon Dioxide)",516,https://images.openfoodfacts.org/images/products/480/001/656/1436/front_en.17.400.jpg,True,True,True,True,True
8852018101055,Shrimp Flavour,Yum Yum,Instant noodles,Belgium,unknown,4.0,60g,"Plastic,PP - Polypropylene,Bag,de:Produkt","Halal, Roundtable on Sustainable Palm Oil","_Weizen_mehl, Palmöl (Palmöl, Antioxidationsmittel: E319, E306), Tapiokastärke, Salz, Zucker, Gemüse (Knoblauch, Zwiebel, Frühlingszwiebel), Gewürze (Chili, Galgant), Geschmacksverstärker: E621, E635, Säuerungsmittel: E296, E330, _Soja_saucenpulver (_Soja_bohnen, Glukosesirup, Maltodextrin, Farbstoff: E150c), Säureregulatoren: E500, E452, E451, Maltodextrin, Maisstärke, _Fisch_sauce (_Sardellen_extrakt, Salz, Zucker), _Garnelen_ 0,2%, Zitronengras, Aroma, Verdickungsmittel: E466, Hefeextrakt, Farbstoff: E160c.",515,https://images.openfoodfacts.org/images/products/885/201/810/1055/front_en.215.400.jpg,True,True,True,True,False
4901790065131,“大鼓判”日本产小麦乌冬面 3份装,シマダヤ,Noodles,Japan,unknown,4.0,3 x 180g,,,"Wheat flour, salt / modified starch, acidulant",46,https://images.openfoodfacts.org/images/products/490/179/006/5131/front_ja.5.400.jpg,True,True,True,True,False
9310155101332,San remo angel hair no. 9 500g,San remo,Pastas,Australia,a,1.0,500 g,,"Halal, No GMOs, No preservatives, Vegan, No added sugar",Durum Wheat Semolina.,21,https://images.openfoodfacts.org/images/products/931/015/510/1332/front_en.11.400.jpg,True,True,True,True,True
8001120891402,Gnocchetti di patate freschi,Coop,Potato gnocchi,Italy,c,4.0,500g,,,"Patate reidratate 91% [acqua, fiocchi di patate (patate, emulsionanti: mono - e digliceridi degli acidi grassi; antiossidanti (acido citrico, metabisolfito di sodio); curcuma, estratto di paprika)], amido di piselli, semola rimacinata di grano duro 3,4%, sale, correttore di acidità: acido citrico; conservante: acido sorbico; aromi naturali. Può contenere soia, latte e senape.",378,https://images.openfoodfacts.org/images/products/800/112/089/1402/front_it.9.400.jpg,True,True,True,True,True
8076800195019,Capellini Nr. 1,Barilla,Spaghetti,Australia,a,1.0,500 g,"Кутия,Картон,Фолио,Друг картон,it:Enveloppage","Vegetarian, Halal, Kosher, Green Dot, de:Recyclebare Verpackung, fr:n-1-in-italia, it:Kascher, it:Végétarien","Semola di grano duro, acqua.",28,https://images.openfoodfacts.org/images/products/807/680/019/5019/front_en.2385.400.jpg,True,True,True,True,True
3596710546633,Coquillettes au blé complet integrales,Auchan,fr:Coquillettes,France,a,1.0,0.5 kg,,Nutriscore Grade A,"Semoule de BLÉ dur complète. Traces éventuelles d'œufs, de soja et de moutarde.",79,https://images.openfoodfacts.org/images/products/359/671/054/6633/front_fr.45.400.jpg,True,True,True,True,True
